landa;clean water;T_0;T_1;T_2;T_3;T_4;T_5;T_6;T_7;T_8;T_9;T_10;T_11;T_12;T_13;T_14;T_15;T_16;T_17;T_18;T_19;T_20;T_21;T_22;T_23;T_24;T_25;T_26;T_27;T_28;T_29;T_30;T_31;T_32;T_33;T_34;T_35
589.3;1.5677;-0.01205;-0.00997;-0.00865;-0.00746;-0.00654;-0.00568;-0.00503;-0.00433;-0.0032;-0.00199;-0.00126;-0.00053;-0.00003;0.00008;0.0002;0.00032;0.00048;0.00028;0.00036;0.00022;0.00012;0.00013;0.00007;0.00003;-0.00005;0;-0.00006;-0.00004;-0.00022;-0.00027;-0.00071;-0.00062;-0.0008;-0.00102;-0.00124;-0.00146
593.5;1.5581;-0.01211;-0.00997;-0.00864;-0.00745;-0.00651;-0.00565;-0.00497;-0.00424;-0.00305;-0.00189;-0.0011;-0.00042;0.00008;0.00017;0.00028;0.00041;0.00054;0.0004;0.00037;0.0003;0.0002;0.0002;0.00016;0.00011;0.00003;0;0.00003;0.00002;-0.00018;-0.00019;-0.0006;-0.00055;-0.00073;-0.00093;-0.00118;-0.00142
597.7;1.5462;-0.01227;-0.01018;-0.00887;-0.00766;-0.0067;-0.00581;-0.00514;-0.00437;-0.00319;-0.002;-0.00116;-0.00051;0.00002;0.00014;0.00026;0.00034;0.00044;0.00029;0.00032;0.00025;0.00014;0.00015;0.00009;0.00004;-0.00001;0;0.00002;0;-0.00018;-0.00018;-0.00062;-0.00051;-0.00076;-0.00093;-0.00117;-0.00148
602.3;1.5382;-0.01225;-0.01014;-0.00883;-0.00761;-0.00672;-0.00579;-0.00513;-0.00435;-0.00319;-0.00197;-0.00117;-0.0005;0.00005;0.00013;0.00027;0.00035;0.00045;0.00028;0.00022;0.00023;0.00014;0.00016;0.00014;0.00006;0.00001;0;-0.00001;-0.00001;-0.00018;-0.00018;-0.00055;-0.00049;-0.00069;-0.00091;-0.00111;-0.00124
606.8;1.5386;-0.01235;-0.01028;-0.00897;-0.00775;-0.0068;-0.00591;-0.0052;-0.0044;-0.00325;-0.00201;-0.0012;-0.00043;-0.00007;0.00005;0.00022;0.00028;0.00036;0.00022;0.00021;0.00014;0.00007;0.00009;0.0001;0.00005;0;0;0.00001;0.00001;-0.00016;-0.00015;-0.00051;-0.00044;-0.00064;-0.00084;-0.00109;-0.00124
611.3;1.5458;-0.01215;-0.01019;-0.00892;-0.00773;-0.0068;-0.00592;-0.00526;-0.00447;-0.00333;-0.00215;-0.00132;-0.00054;-0.00021;-0.00002;0.00016;0.00024;0.00031;0.00016;0.00012;0.00012;0.00004;0.00006;0.00009;0.00007;0.00003;0;0.00003;0.00003;-0.00009;-0.00009;-0.00043;-0.00038;-0.00061;-0.00078;-0.00104;-0.00127
615.5;1.5562;-0.01201;-0.01009;-0.00881;-0.00765;-0.00673;-0.0059;-0.00522;-0.00443;-0.00333;-0.0021;-0.00138;-0.0007;-0.00028;-0.00014;0.00007;0.00019;0.00022;0.00006;0.00009;0.00009;0.00004;0.00007;0.00006;0.00005;0.00002;0;0.00008;0.00003;-0.00011;-0.00008;-0.00041;-0.00035;-0.00057;-0.00075;-0.00095;-0.00126
620.2;1.5671;-0.01194;-0.01004;-0.00878;-0.00763;-0.00672;-0.00587;-0.00518;-0.00441;-0.0033;-0.00219;-0.0014;-0.00075;-0.00029;-0.00026;-0.00001;0.0001;0.00021;0.00001;0.00004;0.00009;0.00005;0.00004;0.00006;0.00008;0.00003;0;0.0001;0.0001;-0.00006;-0.00006;-0.00035;-0.00033;-0.00049;-0.00068;-0.00086;-0.00111
624.5;1.5774;-0.01187;-0.00999;-0.00874;-0.00761;-0.00671;-0.00593;-0.00522;-0.00448;-0.00339;-0.00228;-0.00149;-0.00084;-0.00041;-0.00034;-0.00016;0.00002;0.00008;-0.00004;-0.00002;0.00007;-0.00001;0.00002;0;0.00009;0.00003;0;0.00007;0.00004;-0.00004;-0.00002;-0.00032;-0.00029;-0.00047;-0.00063;-0.00086;-0.00099
628.9;1.5871;-0.01179;-0.00992;-0.00871;-0.00762;-0.00674;-0.00591;-0.00523;-0.0045;-0.0034;-0.00232;-0.00155;-0.00087;-0.00044;-0.0004;-0.0002;-0.00003;0.00005;-0.00012;-0.00005;0.00002;-0.00004;0;-0.00004;0.00005;0.00003;0;0.0001;0.00007;-0.00001;-0.00004;-0.00028;-0.0003;-0.00043;-0.0006;-0.00082;-0.001
633.2;1.5961;-0.01174;-0.00991;-0.00869;-0.00761;-0.0067;-0.00592;-0.00523;-0.0045;-0.00349;-0.00241;-0.0016;-0.00094;-0.00062;-0.00049;-0.00028;-0.00008;0;-0.00014;-0.00015;-0.00003;-0.00007;-0.00004;-0.00003;0.00007;0.00004;0;0.00007;0.00008;0.00003;0.00001;-0.00023;-0.00025;-0.0004;-0.00053;-0.00076;-0.00093
637.3;1.6041;-0.01174;-0.0099;-0.00869;-0.00764;-0.00677;-0.00596;-0.00525;-0.00457;-0.0035;-0.00244;-0.0017;-0.00106;-0.00064;-0.00061;-0.00033;-0.00019;-0.00007;-0.00021;-0.0002;-0.00008;-0.0001;-0.00005;-0.00003;0.00005;0.00003;0;0.00009;0.00006;0.00005;-0.00001;-0.00018;-0.00024;-0.00034;-0.00053;-0.00073;-0.00079
641.8;1.61;-0.0118;-0.00996;-0.00878;-0.0077;-0.00685;-0.00602;-0.00536;-0.00469;-0.00362;-0.0026;-0.00186;-0.0012;-0.00079;-0.00075;-0.00052;-0.00028;-0.00022;-0.0003;-0.00025;-0.00015;-0.00015;-0.00008;-0.00008;0.00004;0.00001;0;0.00004;0.00005;0.00003;0.00001;-0.00016;-0.00026;-0.00035;-0.00051;-0.00069;-0.00081
646.3;1.6126;-0.01184;-0.01;-0.00877;-0.00769;-0.00681;-0.00603;-0.00538;-0.0047;-0.00363;-0.00265;-0.00186;-0.00123;-0.00084;-0.00074;-0.00054;-0.00026;-0.00022;-0.0003;-0.00025;-0.00014;-0.00013;-0.00009;-0.0001;0.00002;-0.00001;0;0.00009;0.00007;0.00008;0.00002;-0.00016;-0.00024;-0.00033;-0.00048;-0.00068;-0.00081
650.7;1.6111;-0.01178;-0.00993;-0.00871;-0.00766;-0.00685;-0.00606;-0.00544;-0.00473;-0.00374;-0.00272;-0.00199;-0.00133;-0.00095;-0.00081;-0.00056;-0.00032;-0.00026;-0.00038;-0.00033;-0.00024;-0.00022;-0.00011;-0.00012;0.00002;0;0;0.00004;0.00004;0.00003;0.00002;-0.00011;-0.00022;-0.0003;-0.00051;-0.00065;-0.00071
